Date,Open,High,Low,Close,Volume,ticker
2012/12/19,161.31,162.22,161.11,161.69,12989380,GLD
2012/12/20,159.87,160.12,158.39,159.73,25147020,GLD
2012/12/21,159.82,160.76,159.78,160.33,13445210,GLD
2012/12/24,160.88,160.96,160.47,160.62,3699741,GLD
2012/12/26,161.36,161.485,160.64,160.78,4956628,GLD
2012/12/27,160.23,161.31,160.05,161.16,8936555,GLD
2012/12/28,160.94,160.97,160.15,160.54,6850024,GLD
2012/12/31,160.9,162.75,160.77,162.0204,11779310,GLD
2013/1/2,163.49,164.14,163.14,163.17,10415970,GLD
2013/1/3,162.48,162.881,160.83,161.2,16067960,GLD
2013/1/4,159.52,160.635,158.89,160.44,19178880,GLD
2013/1/7,159.36,159.96,159.15,159.43,9360723,GLD
2013/1/8,160.46,160.99,160.01,160.56,7693998,GLD
2013/1/9,160.77,160.83,159.905,160.49,8330899,GLD
2013/1/10,161.61,162.56,161.61,161.98,11419940,GLD
2013/1/11,161.86,161.9,160.1084,161.06,13675530,GLD
2013/1/14,161.88,161.97,161.13,161.54,7287865,GLD
2013/1/15,162.8,163.17,162.355,162.558,10075020,GLD
2013/1/16,162.42,163.03,162.15,162.65,9212699,GLD
2013/1/17,161.94,164.4,161.83,163.35,14911400,GLD
2013/1/18,163.95,163.97,163.019,163.09,10037560,GLD
2013/1/22,163.48,164.22,163.37,163.67,8585077,GLD
2013/1/23,163.92,163.95,163,163.21,6693984,GLD
2013/1/24,161.98,162.27,161.18,161.42,13140010,GLD
2013/1/25,160.56,161.04,160.31,160.65,9037261,GLD
2013/1/28,160.24,160.73,160.02,160.29,8490539,GLD
2013/1/29,161.01,161.31,160.69,160.99,7364409,GLD
2013/1/30,162.68,163.04,162.0301,162.19,12009440,GLD
2013/1/31,161.62,161.81,160.47,161.2,9333197,GLD
2013/2/1,162.66,162.77,160.87,161.45,12903900,GLD
2013/2/4,161.19,162.42,161.15,162,7354084,GLD
2013/2/5,162.75,162.795,161.33,161.96,8979388,GLD
2013/2/6,162.13,162.63,161.99,162.39,6133724,GLD
2013/2/7,161.24,162.96,161.13,161.84,12826690,GLD
2013/2/8,161.46,162.02,161.2,161.57,6085836,GLD
2013/2/11,159.78,159.98,159.2499,159.7,12055610,GLD
2013/2/12,159.35,160.05,158.88,159.89,7627436,GLD
2013/2/13,159.6,159.64,158.77,159.05,8960633,GLD
2013/2/14,159.31,159.6499,158.04,158.348,12409570,GLD
2013/2/15,156.42,156.58,154.56,155.76,23371410,GLD
2013/2/19,155.8,155.84,154.93,155.33,11803480,GLD
2013/2/20,153.9,153.93,150.841,151.44,30891280,GLD
2013/2/21,152,153.41,151.899,152.62,17962260,GLD
2013/2/22,152.26,152.99,151.93,152.97,10092950,GLD
2013/2/25,153.52,154.56,153.31,154.34,9407390,GLD
2013/2/26,154.39,156.8,153.32,156.22,18174860,GLD
2013/2/27,155.46,155.6,154.08,154.57,9592547,GLD
2013/2/28,154.09,154.16,152.39,153,14863740,GLD
2013/3/1,153.16,153.61,152.14,152.44,11177210,GLD
2013/3/4,152.45,152.74,151.87,152.3,6632038,GLD
2013/3/5,153.1,153.39,152.11,152.38,10803090,GLD
2013/3/6,152.17,153.38,151.65,153.23,10847180,GLD
2013/3/7,153.02,153.21,152.4,152.69,6544790,GLD
2013/3/8,151.61,153.29,151.403,152.71,11859200,GLD
2013/3/11,152.82,153.06,152.65,152.99,4808806,GLD
2013/3/12,154.07,154.69,153.9,154.19,7265676,GLD
2013/3/13,154.26,154.604,153.423,153.66,7436362,GLD
2013/3/14,153.02,154.17,153.01,153.68,11409540,GLD
2013/3/15,154.12,154.72,153.97,154.001,5673173,GLD
2013/3/18,155.7,155.93,155,155.38,9301423,GLD
2013/3/19,155.22,156.34,155.1,156.08,11020310,GLD
2013/3/20,155.53,155.83,154.88,155.37,8220958,GLD
2013/3/21,156.17,156.43,155.879,156.246,4990616,GLD
2013/3/22,155.451,155.99,155.42,155.55,4746276,GLD
2013/3/25,154.71,155.57,154.36,155.24,6795162,GLD
2013/3/26,154.47,154.91,154.28,154.72,7386702,GLD
2013/3/27,154.67,155.62,154.509,155.36,6714456,GLD
2013/3/28,154.5,154.8,154.22,154.47,6851200,GLD
2013/4/1,154.57,154.93,154.3,154.67,4288086,GLD
2013/4/2,153.09,153.31,152.26,152.43,9398154,GLD
2013/4/3,152.02,152.53,149.92,150.73,15706970,GLD
2013/4/4,149.65,150.6,149.44,150.29,12427430,GLD
2013/4/5,151.54,152.9599,151.07,152.81,14490880,GLD
2013/4/8,152.39,152.59,151.6,152.16,6245454,GLD
2013/4/9,152.32,153.85,152.28,153.34,7040496,GLD
2013/4/10,152.67,152.71,150.5799,150.75,18504990,GLD
